"angle"
8.5
8.06
8.65
9.71
8.8
7.99
8.5
8.43
8.35
8.5
8.4
8.58
7.33
8.44
8.71
8.28
8.82
8.34
8.64
8.14
8.31
9.87
9.02
9.64
9.27
7.68
8.36
8.86
10.57
8.34
9.06
10.34
8.58
5.76
9.11
8.55
9.25
8.07
7.8
8.44
8.66
9.54
9.09
8.36
7.71
8.23
8.34
9.07
8.5
9.71
8.3
8.5
8.6
